aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
hovi 1 ,"hovioikeus, alioikeuksien ja korkeimman oikeuden välinen oikeusaste  ",Se valitti hoviin. Ei se tuomio muuttunu hovissa mihinkään. ,court of appeal
hovi 2 ,hovimestari  ,"Kysy hovilta, onks missään vapaata pöytää, ",head-waiter
hubaa ,"hauskaa, hupaisaa  ","slg. Arvaa, oliks meillä hubaa eilen! Keilailu on tosi hubaa. Mä oon keränny tälle sivulle kaikenlaista hubaa. ",fun
huge ,"markka, Suomen rahayksikkö vuoteen 2001 saakka  ",slg. Yks huge olijotain kuustoist senttii. ,mark (Finnish currency until 2002)
huh(huh) ,"väsymistä, tuskastumista tai helpotusta ilmaiseva huudahdus  ","Huh, kun on kuuma. Huhhuh, kun ottaa koville. Huh helkutti, miten siivoton kämppä! Huhhuh, hyväku päästiin hengissä perille. ",cused to express fatigue or relief>
hui ,"säikähtämistä, pelkoa tai kauhistumista ilmaiseva huudahdus  ","Hui, ku mä säikähdin! Hui kamala, mikä ötökkä toi on? Hui hirveetä, tää vesi on kylmää! ",cused to express horror>
huidella ,"olla menossa, kulkea; heilua, liikkua; heiluttaa, huitoa  ","Mis ihmees sä oot huidellu? Sekin pukki vaan huitelee naisissa kaikki yöt. Mä ajoin suoraan tutkaan, ja mittarin neula huiteli jossain sadassaviiessäkympissä. Se hinta huitelee siinä sadan euron nurkilla. Älä helkutissa huitele sen puukon kanssa! ",be; go; fling
hui hai ,"huudahdus, joka ilmaisee riehakasta tai vähättelevää suhtautumista; vastauksena toisen puheeseen ilmaisemassa vähättelyä tai epäuskoa: puhu mitä puhut, hölö hölö, höpö höpö  ","Hui hai, nyt pidetään hauskaa eikä mamoilla! ""Eiks sun pitäny olla tupakkalakossa ? Hui hai! "" ""Lainaa mulle kaks kymppiä, mä maksan takas huomenna. Hui hai, lainaa joltainmuulta!"" ",<usedtoexpress disparagement:»
huikka 1 ,"kulaus, siemaus, ryyppy  ",Nyt ei tekis huikka pahaa. Niina veti huikan pullon suusta. Otetaas pienet huikat! ,sip
huikka 2 ,"(alkoholipitoinen) juoma, juotava  ",Tää mustaryssä onkin hyvä huikka. Onks sulia yhtään huikkaa mukana? Vedettiin vähän huikkaa pohjiks. ,alcoholic drink
huilata ,"levätä, hengähtää  ","Eiköhän huilata välillä. Kai mua väsyttää, ku mä en oo huilannu yhtään koko päivänä, ",torest
huili ,"tauko, lepo  ","Pidetään sen verran huilia, et ehtii syömään. Nyt on mun huili, sä saat ajaa välillä. Lääkäri määräs kolmen viikon huilin, ","break, rest"
huilia ,"levätä, hengähtää, huilata  ","Nyt on pakko vähän huilia. Mä taidan mennä jo huilimaan, ",to rest
huipata ,"pyörryttää, huimata  ","Ai hitto, ku huippaa päästä. Onkohan sul verenpainetta, ku sua aina huippaa? Saunassa oli niin kuuma, et huippas. ",feel dizzy
huis ,"vahvistussana joidenkin kirosanojen yhteydessä: pois, kauas, muualle, minne tahansa; huitsin (2), huut  ","Apua mikä ampiainen, mee huis helvettiin siitä! ","(intensifying word) off, away"
"huisa, huisi ","vahvistussana: hirveä, huikea, uskomaton, tavaton  ","Oli se laskuvarjohyppy aika huisa kokemus. Painettiin alamäkeen huisaa vauhtia. Sielloli huisan syvä monttu keskellä tietä. Tämmöses vanhassa autossa on huisasti korjaamista. Se oli tosi huisi leffa. Oishan se huisia voittaa jättipotti lotossa. Niinan porukoilla on huisisti rahaa, ",amazing
huit ,"vahvistussana joidenkin kirosanojen yhteydessä: pois, kauas, muualle, minne tahansa; huitsin (2), huut  ","Menkää kaikki huit helvettiin! Heitä ny toi romu huit hiiteen! Kaikki rahat on taas menny huit helkkariin, ","(intensifying word) off, away"
huithapeli ,"huolimaton, vastuuton ihminen  ","Kukakohan huithapeli tänkin on hitsannu, ku heti hajos? En mä tommoselle huithapelille autoo lainaa, ",irresponsible person
huitsin 1 ,"vahvistussana: hyvin, kovin, tavattoman, huisin  ","Ne oli huitsin hauskat bileet, ",very
huitsin 2 ,"vahvistussana karkeissa kirouksissa: huit, huut  ",Mihin huitsin helvettiin ne avaimet on menny? Lähe ny huitsin vittuun siitä ja äkkiä! ,"(intensifying word) off, away"
huitsin nevadassa ,"jossain epämääräisessä, tuntemattomassa paikassa, kaukana  ",Pallo lipes mun kädestä ja lens huitsin nevadaan. Lähin parkkipaikka oli jossakin huitsin nevadassa. Porukat lähetti kortin jostain huitsin nevadasta. ,(anywhere) very far
huiviin ,(nopeasta) juomisesta tai syömisestä  ,"slg. Mä aloin vetää kossua huiviin heti kun päästiin perille. Ville kippas koko pullon huiviin. Eiköhän vetästä noi loputkin eväät huiviin. Heitä ny ne ranskikset huiviis et päästään lähtemään. Ei muuta ku kahvit huiviin ja sit jatketaan, ",drink or eat sth up quickly
hujakoilla ,"paikkeilla, kieppeillä, suunnilleen  ","Se hinta pyörii siinä sadan euron hujakoilla. Juna lähtee seittemän hujakoilla. Ehkä mä voin sit tehä lapsia joskus kolmenkympin hujakoilla, ","around, approximately"
huke ,"markka, huge  ","No oli se vähän hankalaa aluks, ku piti aina laskee et yks euro on kuus hukee. ",mark (Finnish currency until 2002)
huki ,"vuoro, työvuoro  ","Nyt on sun huki heittää. Kenen huki? Iltahuki on kahesta kymmeneen, ","turn, work shift"
hullujenhuone ,"mielisairaala, lataamo  ",Toi naapurin äijä kuulus hullujenhuoneeseen. Jengi huutaa ja heiluu ku hullujenhuoneella. ,mental institution
hulluna 1 ,"innostunut, ihastunut, rakastunut johonkin tai johonkuhun  ","Mä oon ihan hulluna lattarimusiikkiin. Se jätkä on ihan hulluna suhun, ",in love with
hulluna 2 ,"kovasti, täysillä  ","Mä juoksin pysäkille ihan hulluna. Isä huus hulluna, et mitä sä oot taas tehny. ",as hard (or as fast) as possible
hulppea ,"komea, upea, hieno  ","Sielt ylhäältä on tosi hulppee näköala. Ootpas sä muuttanu hulppeeseen taloon. Oli hulppeeta ajaa sil uudella autolla, ",spectacular
hulvaton ,"vahvistussana: mahtava, uskomaton, tavaton, mahdoton  ","Sielloli ihan hulvaton meno. Mä kuulin yhen tosi hulvattoman jutun. Ootte te kyllä hulvattomia tyyppejä, ",amazing
humma ,hevonen; hevosvoima  ,Mä oon kerran tippunu ton humman selästä. Täs koneessa on vähä yli sata hummaa. Pienellä viilaamisella sä saat reilusti hummia lisää. ,horse; horsepower
humpata ,"tanssia humppaa, paritai lavatansseja  ","Me istuttiin baarin puolella ja kateltiin, ku vanhukset vaan humppas. Lavalla humpattiin kahteen asti. Lähetäänkö vähän humppaamaan ? ",to dance (humppa)
humppa ,"eräs musiikki-ja tanssilaji, fokstrotti; iskelmämusiikki yleensä  ","Bändi soitti valssia, humppaa ja pari tangoo. Osaaks sä tanssia humppaa ? Kuka tämmöstä humppaa jaksa kuunnella, tulis välillä kunnon rokkia, ",(a kind of dance); schlager music at large
humpuuki ,"huijaus, petkutus; hölynpöly  ",Ne Villen bisnekset oli ihan humpuukia. Se uskoo ihan tosissaan niihin tähtikattoihin ja muuhun humpuukiin. Telkkarista tulee nykyään vaan pelkkää humpuukia. ,cheating; nonsense
hunsvotti ,"heittiö, retku, vetelys  ",Täys hunsvotti siitä pojasta on tullu. Sinähän et lähe tommosen hunsvotin kanssa mihinkään! ,rogue; idler
huntti ,"satanen, sata euroa (tai markkaa)  ","Että se kehtas pyytää huntin tommosesta romusta. Vuokra on viis hunttia plus vesi ja sähköt, ",a hundred euro (or marks)
huohottaa niskaan ,"hengittää niskaan, seurata, vahtia, painostaa  ","Hyvä ku työpaikalle ehtii, niin kaikki on heti niskaan huohottamassa. Älä ny siinä huohota mun niskaan! ",breathe down sb's neck
"huoltis, huoltsikka ",huoltoasema  ,"Pysähdytään heti kun tulee huoltis. Mis täällon lähin huoltsikka? Noi vanhat äijät vaan istuu kaikki päivät huoltiksen baarissa ja pelaa hedelmäpeliä, ",service station
huonossa huudossa ,"epäsuosiossa, huonossa maineessa  ","Ne Villen bisnekset on nyt vähän huonossa huudossa, ",bad reputation
huora ,prostituoitu; karkea haukkumasana naisesta  ,"halv. Amsterdamissa huorat seisoo ikkunoissa. Ei siinoo paljoo leuhkimista, et on käyny huorissa. Painukaa huorat helkuttiin! Älä sä saamarin huora huuda mulle! ",prostitute (also used to insult females)
huorata 1 ,"toimia prostituoituna; harrastaa irtosuhteita, seksiä monen miehen kanssa, olla uskoton  ","halv. Huumeitten takia ne muijat huoraa. Se ämmä ny on huorannu kaikkien kanssa. Mis sä oot ollu koko yön, huoraamassa vai? ",prostitute oneself; have sex with many men
huorata 2 ,käyttäytyä moraalisesti tuomittavalla tavalla rahan vuoksi  ,halv. Ei toi oo enää mitään bisnestä vaan selvää huoraamista. ,behave inmorally
huoritella ,nimittää huoraksi  ,"Ei kouluissa oo enää mitään kuria, ku opettajiakin vaan huoritellaan. Älä sä yhtään huorittele siinä! ",call sb whore
hupaa 1 ,"helposti kuluvaa, hupenevaa  ","Ei mikään oo niin hupaa ku raha. Tää on tosi hupaa leipää, eihän täst tuu ees maha täyteen. ",vanishes easily
hupaa 2 ,"hauskaa, hupaisaa, hupia, hubaa  ","Sori, me taidettiin pitää vähän hupaa sun kustannuksella. Tehtäskö tänään jotain hupaa? ",fun
huppari ,"pusero, jossa on huppu  ",Et kai sä ny kirkkoon voi mennä hupparissa ja lenkkareissa! Ooksä ostanu uuden hupparin? ,shirt with a hood
huppeli ,humala  ,"Naapurin äijä tais olla pienessä huppelissa. Tukiinhan me sitten aika huppeliin. Nyt ootat vähän aikaa, et menee pahin huppeli ohi. ",drunk(enness)
hupsis(ta) ,hämmästystä ilmaiseva huudahdus: oho  ,"Hupsis, nyt se ruuvi putos johonkin. Hupsista, menikö lasi nurin? ",oops
hurahtaa ,"innostua jostakin; omaksua jokin asia kritiikittä, seota  ","Mä oon ihan hurahtanu sauvakäyvelyyn. Se menetti kaikki rahansa, ku se hurahti johki ihme uskonlahkoon. Mitä sä oikein puhut, ooksä vähän hurahtanu? ",become enthusiastic; adopt uncritically; lose one's mind
hurja ,"vahvistussana: uskomaton, tavaton, hirveä, huima  ","Mulla kävi hurja tuuri, kujust se numero voitti. Meil oli siellä huvipuistossa hurjan hauskaa. Asuntojen hinnat on noussu hurjasti viime aikoina. ",intensifying word>
hurlumhei ,"kova meno, hulina, mylläkkä  ","Töissä oli oikee hurlumhei, ku kaikki yritti saada hommat valmiiks ennen lomia. Toi liikenne on nykyään yhtä hurlumheitä. Se peli meni ihan hurlumheiks, ku kukaan ei viittiny puolustaa, ",bustle; indiscipline
hurri ,"ruotsinkielinen, ruotsalainen  ","halv. Pohjanmaalla asuu paljon hurreja. On se joka kerta hienoo, ku Suomi voittaa hurrit jääkiekossa. Puhu suomee, helkutin hurri! ",Swedish(-speaking)
"huru mykke, huru mykky ","vaikka kuinka paljon, miten paljon tahansa, mielin määrin  ","Onhan siellä metässä sieniä vaikka huru mykke. Pitäskö lähtee kotiin, kello on jo huru mykky. ",very much
huru-ukko ,"(vanha) höperö mies, hourailija, haihattelija  ","halv. Joku huru-ukko puhu bussissa ittekseen. On siellä yliopistossakin kaiken maailman huru-ukkoja, jotka ei tajuu oikeesta elämästä mitään, ",senile old man; lunatic man
hurvitella ,"pitää hauskaa, juhlia, hummata, rellestää  ","Tekis mieli tänään vähän hurvitella. Ville on taasjossain hurvittelemassa. Kai sua ny väsyttää, ku hurvittelit neljään asti aamulla, ",to party
huseerata ,"tehdä jotain omin päin, luvatta, mielin määrin; puuhata, touhuta kovasti  ","Mä en tajuu, miten tommoset huumediilerit saa huseerata ihan vapaasti. Niitten äiti ei pidä yhtään kuria, ni lapset sit huseeraa mitä sattuu. Villen pikkuveli huseeras jotain tietokoneen kanssa, ",do (forbidden things) on one's own; busy oneself
huti ,"ohi mennyt laukaus, lyönti, potku tms.  ","Eka laukaus oli huti. Jätkä sai mahtavan syötön mut potkas silti hudin. Mä löin vasaralla hutiin, ja sormeen sattu niin helkutisti. Täs pelissä kolmesta hutista menee vuoro ohi. ",miss
hutikka ,humala ,"Onpas jätkät taas hutikassa. Se oli niin tuhti paukku, etjo yhestä tuli hutikkaan. Kyllähän tommonen pikku hutikka auttaa siihen, et ei jännitä niin paljon. ",drunkenness
hutsu ,"prostituoitu, huora; haukkumasanana naisesta  ","halv. Älä paa tommosta hametta, tai sua luullaan vielä hutsuksi Mitä helvetin hutsuja sä oot taas tänne raahannu? ",prostitute (also used to insult females)
huudossa ,"suosiossa, muodissa, muotia  ","Kuuskytluvulla pitkä tukka oli huudossa. Ei toi tietokoneala ole enää niin kovassa huudossa ku ennen, ",in fashion
huuhaa ,"tyhjänpäiväinen asia, perätön juttu, hölynpöly  ",Mua ei paljon kiinnosta henkiparantajat eikä muu huuhaa. Et kai sä tommosta huuhaata usko. ,nonsense
huuhkaja ,(vanha) nainen  ,halv. Toi naapurin akka on hirvee huuhkaja. ,(old) woman
huuli ,"hauska juttu, vitsi, pila, leikkipuhe  ","Älä ny suutu, sehän oli pelkkä huuli. Mä en tajunnu sitä huulta ollenkaan, ",joke
huulilla ,"olla täpärällä, vähällä, onnistumaisillaan, tapahtumaisillaan  ","Kolmas maali oli ihan huulilla, mut sit aika loppu, ",to nearly happen
huuli pyöreänä ,"ihmeissään, suu auki  ","Ville heitti semmosta läppää, et kaikki katteli huuli pyöreenä. Mä olin ihan huuli pyöreenä, ku ne koetulokset tuli. ",astonished
huuliveikko ,"jutunkertoja, leikinlaskija, suunsoittaja  ","Se kun sai pari kaljaa, nijohan siit tuli kova huuliveikko. Me tarvitaan työmiestä eikä mitään huuliveikkoja. ",joker
huurteinen ,(kylmä) olut  ,Yks huurteinen teki hyvää pitkän työpäivän päälle. Otettiin parit huurteiset. ,(cold) beer
huusholli ,"koti, asunto, kotitalous  ",Nyt siivotaan koko huusholli. Tästä huushollista ei sit koskaan löydy mitään. Mä en kestäis asuu anopin kanssa samassa huushollissa. ,household
"huusi, huussi ",(ulko)käymälä  ,"Pysähdytään seuraavalla huoltiksella, mun pitäs käydä huusissa. Ton huusin alus pitäs tyhjentää. Oli maha niin sekasin, et hyvä kun huussiin ehti. Ei mökillä oo vessaa, huussi vaan. ",outdoor toilet
huut ,"vahvistussana joidenkin kirosanojen yhteydessä: pois, kauas, muualle, minne tahansa; huit, huitsin (2)  ","Oli niin kauhee tuuli, et se muovi lens huut helvettiin. Aja ny se autos huut hiiteen siitä! ","(intensifying word) off, away"
huutosakki ,kilpailijaa tai joukkuetta kannustava joukko  ,Huutosakki hakkas rumpuja ja laulo. Me alettiin sit huutamaan herjoja niitten hesalaisten huutosakille. ,cheerleaders
hyh(hyh) ,vastenmielisyyttä tai inhoa ilmaiseva huudahdus  ,"Hyh, mikä haju! Sit mun takana istu joku pultsari, hyhhyh! ",yuck
hyi ,"vastenmielisyyttä, inhoa tai moitetta ilmaiseva huudahdus  ","Hyi olkoon! Hyi kamala! Hyi, mikä täällä haisee? Taas maksalaatikkoo, hyi helvetti! Hyi sua, mitä sä tommosia puhut! ",yuck
hyllyllä ,"syrjässä, pois käytöstä, lykättynä, hylättynä  ","Se suunnitelma on ollu hyllyllä jo monta vuotta, tuskin siit mitään tulee. Koko projekti joutu hyllylle, ku ei ollu rahaa. Mulloli niin paljon ylinopeutta, et kortti pantiin hyllylle. ",shelved
hyllyttää ,"panna jokin asia syrjään, ottaa pois käytöstä, lykätä, hylätä  ","Tää elokuva hyllytettiin aikanaan, ku siinoli muka niin rohkeita kohtauksia. Musta se oli ihan hyvä idea, mut pomo hyllytti sen heti. ",shelve
1 hylsy ,tyhjä pullo  ,"Viedään noi hylsyt kauppaan. Pikkupojat keräs hylsyjä nurmikolta, ",empty bottle
2 hylsy ,hylätty suoritus tai koe  ,slg. Mä sain hylsyn siitä tentistä. ,fail(ed exam)
hymy hyytyy ,"on pakko myöntää tosiasiat, suhtautua vakavasti tms.; leikki loppuu, tulee toinen ääni kelloon  ","Kyllä multa hymy hyyty, ku sain ne verolaput. Juostaan vielä pari kilsaa, niin eiköhän hymy hyydy, ",wipe the smile off one's face
"hynttyyt, hynteet ","vaatteet, varusteet, kamppeet  ","Millaset hynttyyt niihin juhliin pitäs panna sitten ? Hyntteet niskaan ja äkkiä, nyt lähetään! Mulle tuli tosi kuuma niissä joulupukin hynttyissä. ",clothes
hynttyyt yhteen ,"yhteen (asumaan) muuttamisesta; yhdessä tekemisen, yhteistyön alkamisesta  ","Ohan siit jo viis vuotta, ku lyötiin hynttyyt yhteen. Kyllä me saadaan se valmiiks, ku vaan pannaan hynttyyt yhteen, ",move together; cooperate
hyppiä nenille ,"käyttäytyä röyhkeästi, hävyttömästi, isotella  ","Älä sä räkänokka yhtään ala hyppiä nenille! Meiän pomo on niin lepsu, et kaikki hyppii sen nenille. ",behave arrogantly
hyppiä seinille ,"suuttua, raivostua, vauhkoontua  ","Opettaja meinas hyppiä seinille, vaikken mä ollu ku viis minuuttia myöhässä. Eihän sil uskalla sanoo mitään, ku se hyppii heti seinille, ",become angry
hyppiä silmille 1 ,"käyttäytyä röyhkeästi, hävyttömästi, isotella; suuttua, käydä päälle, hyppiä nenille, tulla silmille  ","Mun silmille ei hypitä! Sun pitäs vähän komentaa, ettei toi lapsi ihan hypi sun silmilles. Älä ny saakeli silmille hypi! ",behave arrogantly
hyppiä silmille 2 ,"pistää silmään, näkyä häiritsevästi  ","Noi kirjotusvirheet hyppii kyllä pahasti silmille, ","stick out, disturb"
hyppytunti ,vapaatunti (koulussa)  ,"Mullon kahestatoista yhteen hyppytunti. Niina lähti aina hyppytunnilla ostoksille. Emmä viittiny sit hyppytunnin jälkeen enää mennä kouluun, ",free period (at school)
hypätä ,"käydä vähän väliajossakin, juosta, rampata  ","Mitä sä hyppäät koko ajan siellä vessassa? Mä oon koko talven hypänny niissä kokouksissa, ",go frequently
hyrskyn myrskyn ,"sekaisin, mullin mallin  ","Kämppä oli ihan hyrskyn myrskyn. Koiranpentu laitto kaikki paikat hyrskyn myrskyn, ",in a state of confusion
hyvässä lykyssä hys ,kehotus vaieta tai olla hiljaa ,"Hys, hiljaa nyt! Hys hys, lapsi nukkuu! ","sh, hush"
hyssytellä ,"hillitä, vaientaa; salailla, kaunistella  ","Lapset vaan huusi, vaikka niiden äiti kuinka hyssytteli. Ei tää asia parane, jos vaan hyssyttelee, ",hush; hush up
hyvinsyönyt ,"pulska, tukeva, lihava  ",Onpas siinä hyvinsyönyt koira. Se oli semmonen aika hyvinsyöneen näkönen äijä. ,overweight
hyvä ihminen 1 ,vahvistussanana kiellossa tai kehotuksessa; ihmeessä  ,Älä ny hyvä ihminen mee sinne! Aattele ny hyvä ihminen vähän itekin! Tulkaa ny auttamaan hyvät ihmiset! ,"""for Christ's sake"""
hyvä ihminen 2 ,"ilmaisemassa lievää päivittelyä, hämmästystä tms.: hyvänen aika  ","Voi hyvä ihminen, millaseks tää maailma on menny. Voi hyvät ihmiset sentään! ",<used to express mild wonder>
hyvänen aika ,"ilmaisemassa lievää päivittelyä, hämmästystä tms.  ","Voi hyvänen aika! Hyvänen aika, onko sekin mies jo kuollu? ",<used to express mild wonder>
hyvän sään aikana ,ennen kuin on liian myöhäistä  ,"Eiköhän lähetä hyvän sään aikana, ",before it is too late
hyvässä lykyssä ,"jos hyvin käy, hyvällä onnella; ironisesti: jos huonosti käy 'jos huonosti käy'  ",Hyvässä lykyssä ehitään vielä junaan. Ja hyvässä lykyssä menetät vielä työpaikkaskin! ,if all goes well; if all goes wrong
hyvät hyssykät ,"ilmaisemassa lievää päivittelyä, hämmästystä tms.  ","Voi hyvät hyssykät, etkö sä ikinä opi! ",cused to express mild wonder>
hyvää kyytiä ,"hyvää vauhtia, nopeasti, täyttä päätä  ","Taksikuski ajo hyvää kyytiä. Ville lähti karkuun ja me tultiin hyvää kyytiä perässä. Tää projekti on tulossa valmiiks hyvää kyytiä, ","fast, rapidly"
hyvää pataa ,hyvissä väleissä  ,"Oottepas te nyt hyvää pataa. Kiva, ku noi lapset on niin hyvää pataa keskenään, ",ingoodterms
hyypiö ,"outo, kummallinen ihminen, hiippari  ","Mikäköhän hyypiö toikin on ? Noi tietokonenörtit on kaikki ihme hyypiöitä, ",strange person
hyyskä ,"(ulko)käymälä, huusi  ","Käy hakemassa matoja tuolta hyyskän takaa. Hyyskässä on kurja käydä pakkasella, ",outdoor toilet
hyysätä ,"huolehtia, pitää huolta, elättää; passata, hemmotella  ","Mä en jaksa enää hyysätä tota äijää, tehköön ite ruokansa. Mitä sä sitä juoppoa hyysäät? Koulussa hyysätään nykyään mukuloita ihan liikaa, ",to care; pamper
hyytyä ,"väsyä, uupua; toimia huonosti, reistailla  ","Aluks se juoksu meni ihan hyvin, mut sit mä hyydyin ja jäin neljänneks. Älä ny hyydy! Ei me päästy ku Lahteen, ja sit se auto hyyty siihen. Pitäs ostaa uus tietokone, ku tää hyytyy koko ajan. ",become tired; work badly
hä(h) 1 ,"kysyvä, hölmistynyt, epäuskoinen tms. vastaus: miten niin, mitä  ","""Pane se mankka kii! Hä ? "" ""Sä oot muuten mulle kaks kymppiä auki. Häh, miten niin?"" ","""What?"""
hä(h) 2 ,vahvistamassa kysymystä tai kehotusta  ,"Ymmärräks sä, hä ? Meetkös siitä, häh! ","""...huh?"""
hä(h) 3 ,"ilmaisemassa vahingoniloa, ivaa, ilkkumista: ähäkutti  ","Häh häh, siitäs sait! Eihän se huomannu mitään, hä hä! ","""Ha! ha!"" (used to express scorn)"
häikkä ,"häiriö, hämminki, sekaannus  ","Täs ohjelmassa on ny joku ihme häikkä. Niissä talokaupoissa oli vähän häikkää sen homeen takia. Oli siel sen verran häikkää, et joku soitti poliisit, ",problems
häippäistä ,"lähteä, poistua, häipyä  ",Mä häippäsin töistä jo vähän ennen kahta. Nyt häippästään ja äkkiä. ,go away
häipyä ,"lähteä, poistua; mennä hukkaan, kadota  ",Tekis mieli häipyä koko kaupungista. Häivy siitä! Mihin se lehti on taas häipyny tästpöydältä? ,go away; disappear
häipätä ,"lähteä, poistua, häipyä  ","Niina häippäs niistä bileistä joskus kymmenen maissa. Mä en tienny yhtään, mihin sä olit häipänny. ",go away
häiskä ,"mies, poika, kaveri  ",Se on pirun komee häiskä. Tunneks sä ton häiskän ? Mua ei tommoset häiskät määräile! ,"man, boy"
häkki 1 ,"vankila, putka  ","slg. Se autovaras sai kolme vuotta häkkiä. Mä sammuin puiston penkille ja sit kytät vei mut häkkiin, ",jail
häkki 2 ,maali ,"slg. Sit ylivoimahyökkäys ja kiekko häkkiin! Se teki viime matsissa kaks häkkiä, ",goal (in sports)
häkki heilahtaa ,joutua vankilaan tai putkaan  ,"slg. Jos me tästä jäädään kii, ni kyllä häkki heilahtaa. ",end up in jail
häkä (kuin) ,"mennä täydestä, sujua hyvin, kuin tanssi  ",Kauppa käy ku häkä. Tää musiikki uppoo nuorisoon ku häkä. ,(in similes): very well; at full steam
hällä väliä ,"ilmaisee välinpitämättömyyttä: mitä siitä, ei sillä ole väliä, väliäkö hällä  ","Hällä väliä, tulee taikka ei. Makso sejotain satasen, mutta hällä väliä. Villellä on semmonen hällä väliä -tyyli vähän joka hommassa. ","""I don't care"""
hämy ,"hämäräperäinen, outo, omituinen  ",slg. Villen broidilla on ihan hämyjä juttuja. Se on hämy jätkä. ,weird
häntä koipien välissä ,"nolona, alistuneena, surkeana  ","Niina tuli pääsykokeista häntä koipien välissä. Ensin rellestetään koko yö ja sit ollaan aamulla ihan häntä koipien välissä, ",embarrassed
häppä ,"alkoholi, viina  ",Kyllä sille äijälle häppä maistuu. Saiks siellä juhlissa yhtään häppää? Sä oot tainnu ottaa vähän häppää. ,alcohol
härdelli ,"sekava, kiireinen tilanne, tungos, mekkala, mylläkkä, hulina, hässäkkä  ","slg. Heti ku ovet avattiin, sielloli kauhee härdelli. Eihän semmosessa härdellissä nähny yhtään mitään, ","confusion, disorder"
härmäläinen ,suomalainen  ,"Härmäläiset ei oo oikein pärjänny näissä kisoissa. Meiän hotelli oli täynnä härmäläisiä, ku ei oltas ulkomailla oltukaan. ",Finn
härski ,"röyhkeä, julkea; rivo, ruokoton  ",Se oli kyllä aika härski temppu. Ville vaan kiilas härskisti jonon ohi. Se kerto tosi härskin vitsin. Netissä on paljon härskejä seksisivuja. ,arrogant; obscene
härveli ,"vehje, laite, vekotin  ",Tää uus DVD-soitin on ihme härveli. Pikkujätkillä pitää aina olla kaikkiajänniä härveleitä. ,device
häslinki ,"sekava, kiireinen tilanne; tungos, mekkala, mylläkkä, hässäkkä  ","Lentokentällä oli kova häslinki. Ei täst tuu mitään, mä en kestä tämmöstä häslinkiä. ","confusion, disorder"
hässiä ,"naida, nussia  ","vulg. Ville väittää, et se on hässiny sun siskoas. Sit puhelin soi just ku me oltiin hässimässä, ",havesex
hässäkkä 1 ,"sekava, kiireinen tilanne, tungos, mekkala, mylläkkä, hulina  ","Sielloli kauhee hässäkkä, joku oli vissiin ajanu kolarin. Mä unohdin avaimet kotiin siinä hässäkässä. ","confusion, disorder"
hässäkkä 2 ,"omituinen laite tai rakennelma, sekava piirustus, vyyhti tms.  ","Onks toi antenni, toi hässäkkä tuolla katolla? Siima oli menny ongen ympäri yheks hässäkäks. ",strange device; confusing drawing; tangle
hätä ,"tarve virtsata tai ulostaa; kakka-, kusi-, paska-, pissa-, vessahätä  ","Pitäs päästä vessaan, mullon kauhee hätä. Mulle tuli niin kova hätä, et ei auttanu muu ku mennä pusikkoon, ",need to urinate or defecate
hätähousu ,hätäilijä  ,"Oota ny vähän, senkin hätähousu! Ei semmosen hätähousun kanssa viitti mihkään reissuun lähtee, ",worrywart
hätäpaikka ,"hätä, hätätilanne  ","Älä hermoile, ei täs ny mitään hätäpaikkaa oo! Kyllä mä voin hätäpaikassa korjata sen itekin. ",emergency
hävetä silmät päästään ,"hävetä paljon, suunnattomasti  ","Sen kakaran takia saa hävetä silmät päästä. Kyllä mä häpesin silmät päästäni, ku ope luki sen kirjeen, ",be very ashamed
hävytön ,"liiallinen, kohtuuton  ",On sillä hävytön palkka! Bensa maksaa nykyään ihan hävyttömästi. Siellä kokouksessa oli taas hävyttömän vähän porukkaa. ,immoderate; (intensifying word)
hääppöinen ,"yleensä kielteisissä lauseissa: ei kovinkaan hyvä, kaksinen, erityinen, häävi  ","Tuskin se mikään hääppönen pelaaja on. Ei oo hääppöset kortit. Eipä ollu hääppöstä niissäkään juhlissa, ",is not special
hö(h) ,"hämmästystä, halveksuntaa tms. ilmaiseva huudahdus  ","Hö, joks tää loppu? No höh, se nyt puhuu mitä puhuu. ",<used to express disappointment or disparagement>
höhlä ,"hölmö, tyhmä, typerä  ","Miten niin et tajua, ooksä joku höhlä vai? Se kulki vähän aikaa yhen tosi höhlän kundin kanssa. On se vähän höhlää tehä sama juttu moneen kertaan, ",stupid
hökötys ,"omituinen laite tai rakennelma, häkkyrä, rakkine  ",Sielhän se taas korjaa jotain hökötystä autotallissa. Onks toi hökötys olevinaan joku kasvihuone vai? ,strange device or construction
hölistä ,"puhua turhia, pulista, höpöttää  ",Taas se hölisee puhelimessa. Menkää muualle hölisemään! ,talk nonsense
hölkyn kölkyn ,"kippis, skool, terveydeksi ","Tervetuloa vaan kaikille, ja hölkyn kölkyn! ""Kippis! Hölkyn kölkyn! "" ",<used when raising a toast>
hölkäsen pöläystä ,"vain kielteisissä lauseissa: yhtään, mitään, lainkaan, tuon taivaallista, himpun vertaa, tipan tippaa, aavistustakaan  ","Mä en ymmärtäny fyssasta hölkäsen pöläystä. Oo sä hiljaa, ku sä tuskin tiedät hölkäsen pöläystä koko jutusta. Siis kukaan ei tajunnu hölkäsen pöläystä! ",(to not know or understand) anything at all
