aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
ajaa sisään ,"auton tai muun moottorin totutusajosta; ottaa käyttöön jokin uusi väline, järjestelmä tms.  ","Älä huudata sitä moottoria, sitä ei oo vielä ajettu sisään. Kengät ja sukat pitää ajaa sisään, ennen ku lähetään maratonille. Meiän valmentaja on ajanu sisään uutta pelisysteemiä. ",put to test; introduce
ajaa takaa ,"yrittää, tavoitella; tarkoittaa  ","Mä en ny oikein ymmärrä, mitä sä ajat takaa, ","get at, suggest"
ajaa ulos ,lähettää valmiiksi nauhoitettu ohjelma televisiossa tai radiossa  ,"Se ohjelma nauhotettiin ajat sitten, mutta ne ajaa sen ulos vasta maanantaina, ",broadcast
ajan kanssa ,"vähitellen, ajan mittaan; huolellisesti, paljon aikaa käyttäen  ",Kyllä sä siihen totut ajan kanssa. Tätä talokauppaa pitää nyt miettiä oikein ajan kanssa. ,allowing plenty of time
ajopeli ,ajoneuvo  ,"Joku ajopeli täs pitäs olla, auto tai prätkä. ",vehicle
akantappaja ,moottoripyörän sivuvaunu  ,Mä en tommoseen akantappajaan enää istu. ,sidecar
akateeminen vartti ,"yliopistossa yleinen tapa, jonka mukaan luennot ja muut tilaisuudet aloitetaan vasta viisitoista minuuttia ilmoitettua myöhemmin  ","Me alotetaan aina tasalta, ei tääll oo mitään akateemista varttia. Kait sitä aina sen akateemisen vartin verran voi myöhästyä, ",(in universities) tradition of starting lectures at quarter past the hour
akka 1 ,"(vanha) nainen, eukko, muija  ",halv. Ei siellä ollu ku jotain vanhoja akkoja. Miten toi akka jaksaa aina huutaa? ,woman
akka 2 ,kuningatar korttipelissä  ,"Ville löi ristiakan pöytään, ",(in card game) queen
akkamainen ,"epämiehekäs, naismainen; raukkamainen ",halv. Mun mielestä kainalokarvojen ajaminen on akkamaista. Lopeta toi akkamainen valitus! ,womanish; cowardly
alakantissa ,"jostain luvusta tai määrästä: liian vähän, alhaalla  ","Pomo ei voi millään myöntää, että mun palkka on alakantissa. Opettaja anto numerot selvästi alakanttiin. ","too low,toolittle"
"ala laputtaa, painua ","mene tiehesi, häivy  ","Alkakaas ny laputtaa jonnekin muualle. No niin, alahan laputtaa! Ala painuu siitja vähän äkkiä! ","""Get off!"""
alan mies ,"asiantuntija, ammattilainen; alkoholisti, rikollinen tai muuten epämääräinen henkilö  ",Remonttihommiin tarvitaan alan mies. Alan miehet oli jo Alkon nurkalla oottelemassa. ,expert; alcoholic; criminal
alapää ,"takapuoli, sukupuolielimet ja niiden lähialueet ","Mullon jotain ihme näppylöitä tuolla alapäässä. Törkeen näköstä, jos ei oo yhtään alapäätä ajeltu, ",sex organs and buttocks
ala vetää ,"mene tiehesi, häivy, antaa heittää, antaa vetää  ","Ala jätkä vetää, ettei käy huonosti. ","""Get off!"""
aie ,alennusmyynti  ,Sokoksella on kaikki vaatteet alessa. Mä sain hyvän takin alesta. Nyt joulun jälkeen on isot alet. Noissa aleissa tulee tehtyä turhiakin ostoksia. ,sale
alikessu ,"alikersantti, vanhempi varusmies joka toimii uuden ikäluokan kouluttajana  ",Meillä oli intissä ihan hullu alikessu. ,(army) corporal
aikaa (jollekulle) ,"haastaa riitaa, uhitella  ","slg. Älä sä mulle ala! Ei kannattas alkaa isommille, ",pick a quarrel
alkkarit ,alushousut  ,"Pitäs ostaa uusia alkkareita. Mä pesen pyykkiä, ku kaikki alkkarit on likasia. ","underpants, knickers"
alkkis ,alkoholisti  ,slg. Eno on ihan täysi alkkis. Mä en kestä noita alkkiksia. ,an alcoholic
alta aikayksikön ,"heti, nopeasti  ","Nyt häivyt siitä ja alta aikayksikön! Heti ku se sai rahaa, se tuhlas ne alta aikayksikön, ",quickly
aita lipan ,"pilkkaamisesta, panettelusta; vähättelystä; huonosti, alle arvostelun  ","Yritätkö sä panna mua alta lipan? Siinä ohjelmassa pistetään poliitikkoja koko ajan alta lipan. Opettaja veti oppilaita alta lipan. Noi sun puheet menee ihan alta lipan, ",(to underrate); beneath contempt
alvariinsa ,"alituisesti, koko ajan  ","Mikähän tota vaivaa, kun se juoksee alvariinsa vessassa? Nää tietokoneet temppuilee alvariinsa. ",all the time
amerikanrauta ,"amerikkalainen (vanha) auto, jenkkirauta  ","Niillä oli hääautona vanha amerikanrauta, viisysi Cadillac, ",classic American car
amis ,ammattikoulu  ,Villen pikkuveli on amiksessa. ,vocational school
ammu ,erityisesti lapsille puhuttaessa: lehmä  ,"Kattokaa lapset, tuollon ammuja! ",cow
ammuvainaan nuotilla ,"epäpuhtaasti, nuotin vierestä  ",Jotkut humalaiset mölis ja laulo ammuvainaan nuotilla. Pappi veisas kovaa mutta ihan ammuvainaan nuotilla. ,out of tune
ampua lonkalta ,"ampua nopeasti, tähtäämättä lonkan korkeudelta  ","Älä tähtää, ku ammu vaan lonkalta! ",shoot from the hip
